"California State University, Sonoma",SSU,sonoma.edu
State university system,State
Southwestern University,SU,southwestern.edu
Shenandoah University,SU,su.edu
Southern University,SU,subr.edu
Stanford University,SU,stanford.edu
Susquehanna University,SU,susqu.edu
Syracuse University,SU,syracuse.edu
Salisbury University,SU,salisbury.edu.
Samford University,SU,samford.edu
Southern Utah University,SUU,suu.edu
State University of New York,SUNY,suny.edu
Swarthmore College,Swat,swarthmore.edu
Southwestern Oklahoma State University,SWOSU,swosu.edu
Texas A&M University,TAMU,tamu.edu
Texas A&M University–Corpus Christi,TAMUCC,tamucc.edu
The College of New Jersey,TCNJ,tcnj.edu
Texas Christian University,TCU,tcu.edu
Institute of Technology,Tech
"List of institutions using the term ""institute of technology"" or ""polytechnic""",Tech
Transylvania University,Transy,transy.edu
Tarleton State University,TSU,tarleton.edu
Tennessee State University,TSU,tnstate.edu
Texas Southern University,TSU,tsu.edu
Truman State University,TSU,truman.edu
Texas Tech University,TTU,ttu.edu
Temple University,TU,temple.edu
Towson University,TU,towson.edu
Tufts University,TU,tufts.edu
Tulane University,TU,tulane.edu
Tuskegee University,TU,tuskegee.edu
University of Tulsa,TU,utulsa.edu
Texas State University–San Marcos,TxSt,txstate.edu
University of Miami,The U,miami.edu
University of Minnesota,The U,umn.edu
University of Utah,The U,utah.edu
University of Washington,The U,washington.edu
University of Arizona,U of A,arizona.edu
University of Arkansas,U of A,uark.edu
University of Utah,U of U,utah.edu
University of Akron,UA,uakron.edu
University of Alabama,UA,ua.edu
University of Arizona,UA,arizona.edu
University of Alaska Anchorage,UAA,uaa.alaska.edu
University of Alabama at Birmingham,UAB,uab.edu
University of Alaska Fairbanks,UAF,uaf.edu
University of Alabama in Huntsville,UAH,uah.edu
University of Arkansas at Little Rock,UALR,ualr.edu
University of Arkansas at Monticello,UAM,uamont.edu
University of Arkansas at Pine Bluff,UAPB,uapb.edu
University of Baltimore,UB,ubalt.edu
University at Buffalo,UB,buffalo.edu
University of Chicago,UChicago,U of C,uchicago.edu
University of California,UC,universityofcalifornia.edu
University of Chicago,UC,uchicago.edu
University of Cincinnati,UC,uc.edu
University of the Cumberlands,UC,University of the Cumberlands
University of Colorado Boulder,UCB,colorado.edu
"University of California, Berkeley",UC Berkeley,berkeley.edu
"University of California, Davis",UC Davis,ucdavis.edu
"University of California, Irvine",UC Irvine,uci.edu
University of Central Arkansas,UCA,uca.edu
University of Colorado Colorado Springs,UCCS,uccs.edu
"University of California, Davis",UCD,ucdavis.edu
University of Colorado Denver,UCD,ucdenver.edu
University of Central Florida,UCF,ucf.edu
"University of California, Irvine",UCI,uci.edu
"University of California, Los Angeles",UCLA,ucla.edu
University of Central Missouri,UCM,ucmo.edu
University of Central Oklahoma,UCO,uco.edu
University of Connecticut,UConn,uconn.edu
"University of California, Riverside",UCR,ucr.edu
"University of California, Santa Barbara",UCSB,ucsb.edu
"University of California, San Diego",UCSD,ucsd.edu
"University of California, San Francisco",UCSF,ucsf.edu
University of Dallas,UD,udallas.edu
University of Dayton,UD,udayton.edu
University of Delaware,UD,udel.edu
University of Detroit Mercy,UDM,udmercy.edu
University of the District of Columbia,UDC,udc.edu
University of Washington,U Dub,washington.edu
University of Florida,UF,ufl.edu
University of Georgia,UGA,uga.edu
University of Hawaiʻi at Mānoa,UH,manoa.hawaii.edu
University of Hawaii,UH,hawaii.edu
University of Houston,UH,uh.edu
University of Houston,U of H,uh.edu
University of Houston–Clear Lake,UHCL,uhcl.edu
University of Houston–Downtown,UHD,uhd.edu
University of Houston,UHS,uhsystem.edu
University of Houston–Victoria,UHV,uhv.edu
University of Idaho,UI,U of I,uidaho.edu
University of Illinois at Urbana–Champaign,UI,U of I,illinois.edu
University of Iowa,UI,U of I,uiowa.edu
University of Illinois at Chicago,UIC,uic.edu
University of Illinois at Urbana–Champaign,UIUC,illinois.edu
University of Kentucky,UK,uky.edu
University of Louisiana at Monroe,ULM,ulm.edu
University of Louisiana (at Lafayette) (page does not exist),UL
University of Louisville,U of L,louisville.edu
University of Memphis,U of M,memphis.edu
University of Miami,U of M,miami.edu
University of Michigan,U of M,UMich,umich.edu
University of Minnesota,U of M,umn.edu
University of Montana,U of M,umt.edu
University of Massachusetts Amherst,UMass,umass.edu
"University of Maryland, Baltimore",UMB,umaryland.edu
University of Massachusetts Boston,UMB,umb.edu
"University of Maryland, Baltimore County",UMBC,umbc.edu
