Georgetown College,Tigers,Georgetown,georgetowncollege.edu
Georgetown University,Hoyas,Washington,georgetown.edu
University of Georgia,Georgia Bulldogs,Lady Bulldogs,Athens,uga.edu
Georgia Gwinnett College,Grizzlies,Lawrenceville,ggc.edu
Georgia Southern University,Eagles,Statesboro,georgiasouthern.edu
Georgia State University,Panthers,gsu.edu
Georgia Institute of Technology,Yellow Jackets,Atlanta,gatech.edu
Georgian Court University,Lions,Lakewood Township,georgian.edu
Gettysburg College,Bullets,Gettysburg,gettysburg.edu
Glenville State College,Glenville,glenville.edu
Golden West College,goldenwestcollege.edu
Gonzaga University,Bulldogs,Spokane,gonzaga.edu
Gordon College (Massachusetts),Fighting Scots,Wenham,gordon.edu
Goshen College,Maple Leafs,Goshen,goshen.edu
Grace College,Winona Lake,grace.edu
Graceland University,Yellowjackets,Lamoni,graceland.edu
Grambling State University,Tigers,Grambling,gram.edu
Grand Canyon University,Antelopes,Lopes,Phoenix,gcu.edu
Grand Valley State University,Lakers,Allendale,Grand Rapids,gvsu.edu
Grand View University,Vikings,Des Moines,grandview.edu
University of Wisconsin–Green Bay,Phoenix,Green Bay,uwgb.edu
Greensboro College,Greensboro,greensboro.edu
Grinnell College,Pioneers,Grinnell,grinnell.edu
Guilford College,Greensboro,guilford.edu
Gulf Coast State College,Panama City,gulfcoast.edu
Gustavus Adolphus College,Golden Gusties,St. Peter,gustavus.edu
Hanover College,Panthers,Hanoverians,Hanover,hanover.edu
Hampton University,Pirates,Hampton,hamptonu.edu
Hamilton College (New York),Continentals,Clinton,hamilton.edu
Harding University,Bisons,Searcy,harding.edu
Harris–Stowe State University,St. Louis,hssu.edu
University of Hartford,Hawks,West Hartford,hartford.edu
Harvard University,Harvard Crimson,Cambridge,harvard.edu
Hastings College,Broncos,hastings.edu
University of Hawaii,Honolulu,hawaii.edu
University of Hawaii at Hilo,Vulcans,Hilo,hilo.hawaii.edu
Heidelberg University (Ohio),Tiffin,heidelberg.edu
Henderson State University,Reddies,Arkadelphia,hsu.edu
Hendrix College,The Warriors,Conway,hendrix.edu
Herkimer County Community College,Generals,Herkimer,herkimer.edu
High Point University,Panthers,High Point,highpoint.edu
Hillsborough Community College,Hawks,Hillsborough County,hccfl.edu
Hiram College,Terriers,Hiram,hiram.edu
Hobart and William Smith Colleges,Statesmen (Hobart)Herons (WS),Geneva,hws.edu
Hofstra University,The Pride (formerly Flying Dutchmen),Hempstead,hofstra.edu
Hope College,Flying DutchmenFlying Dutch,Holland,hope.edu
College of the Holy Cross,Crusaders,Worcester,holycross.edu
University of Houston,Cougars,Houston,uh.edu
University of Houston–Downtown,Gators,Houston,uhd.edu
University of Houston–Victoria,Jaguars,Victoria,uhv.edu
Howard Community College,Columbia,howardcc.edu
Howard University,Bison,Lady Bison,Washington,home.howard.edu
Humboldt State University,Lumberjacks,Arcata,humboldt.edu
